date,code,name,foreign_net,trust_net,dealer_net,market
2025-09-11,1338,廣華-KY,48000,0,0,TWSE
2025-09-11,1339,昭輝,23967,0,0,TWSE
2025-09-11,1340,勝悅-KY,24000,0,0,TWSE
2025-09-11,1341,富林-KY,2962,0,0,TWSE
2025-09-11,1342,八貫,47000,0,0,TWSE
2025-09-11,1402,遠東新,514400,190000,0,TWSE
2025-09-11,1409,新纖,875000,0,0,TWSE
2025-09-11,1410,南染,2000,0,0,TWSE
2025-09-11,1414,東和,31000,0,0,TWSE
2025-09-11,1416,廣豐,59000,0,0,TWSE
2025-09-11,1417,嘉裕,13000,0,0,TWSE
2025-09-11,1418,東華,1000,0,0,TWSE
2025-09-11,1419,新紡,228000,0,0,TWSE
2025-09-11,1423,利華,6000,0,0,TWSE
2025-09-11,1432,大魯閣,20000,0,0,TWSE
2025-09-11,1434,福懋,1244000,35000,0,TWSE
2025-09-11,1436,華友聯,1998,0,0,TWSE
2025-09-11,1437,勤益控,30000,0,0,TWSE
2025-09-11,1438,三地開發,0,0,0,TWSE
2025-09-11,1439,雋揚,0,0,0,TWSE
2025-09-11,1440,南紡,164000,0,0,TWSE
2025-09-11,1442,名軒,266000,0,0,TWSE
2025-09-11,1444,力麗,550613,0,0,TWSE
2025-09-11,1445,大宇,4000,0,0,TWSE
2025-09-11,1446,宏和,175000,0,0,TWSE
2025-09-11,1447,力鵬,51000,0,0,TWSE
2025-09-11,1449,佳和,625000,0,0,TWSE
2025-09-11,1451,年興,90000,0,0,TWSE
2025-09-11,1452,宏益,3000,0,0,TWSE
2025-09-11,1453,大將,9000,0,0,TWSE
2025-09-11,1454,台富,0,0,0,TWSE
2025-09-11,1455,集盛,2000,0,0,TWSE
2025-09-11,1456,怡華,1000,0,0,TWSE
2025-09-11,1457,宜進,15000,0,0,TWSE
2025-09-11,1459,聯發,2000,0,0,TWSE
2025-09-11,1460,宏遠,217000,0,0,TWSE
2025-09-11,1463,強盛新,191000,0,0,TWSE
2025-09-11,1464,得力,430000,0,0,TWSE
2025-09-11,1465,偉全,6000,0,0,TWSE
2025-09-11,1466,聚隆,52000,0,0,TWSE
2025-09-11,1467,南緯,14000,0,0,TWSE
2025-09-11,1468,昶和,15000,0,0,TWSE
2025-09-11,1471,首利,117000,0,0,TWSE
2025-09-11,1472,三洋實業,0,0,0,TWSE
2025-09-11,1473,台南,33000,0,0,TWSE
2025-09-11,1474,弘裕,1000,0,0,TWSE
2025-09-11,1475,業旺,32000,0,0,TWSE
2025-09-11,1476,儒鴻,245900,4171,0,TWSE
2025-09-11,1477,聚陽,457880,134070,0,TWSE
2025-09-11,1503,士電,384005,193,0,TWSE
2025-09-11,1504,東元,22150577,825457,0,TWSE
2025-09-11,1506,正道,40000,0,0,TWSE
2025-09-11,1512,瑞利,3000,0,0,TWSE
2025-09-11,1513,中興電,1565000,11461,0,TWSE
2025-09-11,1514,亞力,636089,192000,0,TWSE
2025-09-11,1515,力山,100000,0,0,TWSE
2025-09-11,1516,川飛,3000,0,0,TWSE
2025-09-11,1517,利奇,34000,0,0,TWSE
2025-09-11,1519,華城,86069,1147405,0,TWSE
2025-09-11,1521,大億,4000,0,0,TWSE
2025-09-11,1522,堤維西,356000,117647,0,TWSE
2025-09-11,1522A,堤維西甲特,0,0,0,TWSE
2025-09-11,1524,耿鼎,308000,0,0,TWSE
2025-09-11,1525,江申,1000,0,0,TWSE
2025-09-11,1526,日馳,20000,0,0,TWSE
2025-09-11,1527,鑽全,62000,0,0,TWSE
2025-09-11,1528,恩德,2712000,0,0,TWSE
2025-09-11,1529,樂事綠能,696000,0,0,TWSE
2025-09-11,1530,亞崴,1000,0,0,TWSE
2025-09-11,1531,高林股,5000,0,0,TWSE
2025-09-11,1532,勤美,1916000,17116,0,TWSE
2025-09-11,1533,車王電,59000,0,0,TWSE
2025-09-11,1535,中宇,15000,0,0,TWSE
2025-09-11,1536,和大,260000,0,0,TWSE
2025-09-11,1537,廣隆,118000,1000,0,TWSE
2025-09-11,1539,巨庭,97000,0,0,TWSE
2025-09-11,1540,喬福,390000,0,0,TWSE
2025-09-11,1541,錩泰,1000,0,0,TWSE
2025-09-11,1558,伸興,30000,982,0,TWSE
2025-09-11,1560,中砂,288000,409400,0,TWSE
2025-09-11,1563,巧新,383000,0,0,TWSE
2025-09-11,1568,倉佑,7000,0,0,TWSE
2025-09-11,1582,信錦,240000,6000,0,TWSE
2025-09-11,1583,程泰,3000,0,0,TWSE
2025-09-11,1587,吉茂,107000,0,0,TWSE
2025-09-11,1589,永冠-KY,29000,0,0,TWSE
2025-09-11,1590,亞德客-KY,290130,5000,0,TWSE
2025-09-11,1597,直得,629128,0,0,TWSE
2025-09-11,1598,岱宇,61000,0,0,TWSE
2025-09-11,1603,華電,1040000,0,0,TWSE
2025-09-11,1604,聲寶,1000,0,0,TWSE
2025-09-11,1605,華新,5889956,2374,0,TWSE
2025-09-11,1608,華榮,51950,0,0,TWSE
2025-09-11,1609,大亞,818850,6904,0,TWSE
2025-09-11,1611,中電,319000,0,0,TWSE
2025-09-11,1612,宏泰,277000,0,0,TWSE
2025-09-11,1614,三洋電,7000,0,0,TWSE
2025-09-11,1615,大山,49000,0,0,TWSE
2025-09-11,1616,億泰,253850,0,0,TWSE
2025-09-11,1617,榮星,97000,0,0,TWSE
2025-09-11,1618,合機,343000,0,0,TWSE
2025-09-11,1626,艾美特-KY,3000,0,0,TWSE
2025-09-11,1702,南僑,212970,0,0,TWSE
2025-09-11,1707,葡萄王,15000,0,0,TWSE
2025-09-11,1708,東鹼,995000,0,0,TWSE
2025-09-11,1709,和益,197817,0,0,TWSE
2025-09-11,1710,東聯,1106000,0,0,TWSE
2025-09-11,1711,永光,3292060,0,0,TWSE
2025-09-11,1712,興農,6000,0,0,TWSE
2025-09-11,1713,國化,56000,0,0,TWSE
2025-09-11,1714,和桐,661000,0,0,TWSE
2025-09-11,1717,長興,5036400,12000,0,TWSE
2025-09-11,1718,中纖,1080000,0,0,TWSE
2025-09-11,1720,生達,83837,1000,0,TWSE
2025-09-11,1721,三晃,791000,0,0,TWSE
2025-09-11,1722,台肥,351000,12000,0,TWSE
2025-09-11,1723,中碳,89000,0,0,TWSE
2025-09-11,1725,元禎,1000,0,0,TWSE
2025-09-11,1726,永記,5000,0,0,TWSE
2025-09-11,1727,中華化,43000,0,0,TWSE
2025-09-11,1730,花仙子,0,0,0,TWSE
2025-09-11,1731,美吾華,1000,0,0,TWSE
2025-09-11,1732,毛寶,48000,0,0,TWSE
2025-09-11,1733,五鼎,27000,0,0,TWSE
2025-09-11,1734,杏輝,140700,0,0,TWSE
2025-09-11,1735,日勝化,3950,0,0,TWSE
2025-09-11,1736,喬山,180000,0,0,TWSE
2025-09-11,1737,臺鹽,31000,0,0,TWSE
2025-09-11,1752,南光,23000,0,0,TWSE
2025-09-11,1760,寶齡富錦,49000,0,0,TWSE
2025-09-11,1762,中化生,180000,0,0,TWSE
2025-09-11,1773,勝一,79700,58000,0,TWSE
2025-09-11,1776,展宇,1000,0,0,TWSE
2025-09-11,1783,和康生,8000,0,0,TWSE
2025-09-11,1786,科妍,38000,0,0,TWSE
2025-09-11,1789,神隆,34560,0,0,TWSE
2025-09-11,1795,美時,614900,0,0,TWSE
2025-09-11,1802,台玻,7889266,495000,0,TWSE
2025-09-11,1805,寶徠,22000,0,0,TWSE
2025-09-11,1806,冠軍,432000,23545,0,TWSE
2025-09-11,1808,潤隆,120000,0,0,TWSE
2025-09-11,1809,中釉,492000,0,0,TWSE
2025-09-11,1810,和成,728000,0,0,TWSE
2025-09-11,1817,凱撒衛,25000,0,0,TWSE
2025-09-11,1903,士紙,75000,0,0,TWSE
2025-09-11,1904,正隆,484000,15039,0,TWSE
2025-09-11,1905,華紙,783000,0,0,TWSE
2025-09-11,1906,寶隆,6000,0,0,TWSE
2025-09-11,1907,永豐餘,120017,0,0,TWSE
2025-09-11,1909,榮成,32000,0,0,TWSE
2025-09-11,2002,中鋼,16084406,388500,0,TWSE
2025-09-11,2006,東和鋼鐵,1538000,113034,0,TWSE
2025-09-11,2007,燁興,2000,0,0,TWSE
2025-09-11,2008,高興昌,0,0,0,TWSE
2025-09-11,2009,第一銅,562000,0,0,TWSE
2025-09-11,2010,春源,133700,0,0,TWSE
2025-09-11,2012,春雨,3000,0,0,TWSE
2025-09-11,2013,中鋼構,24000,0,0,TWSE
2025-09-11,2014,中鴻,1911000,0,0,TWSE
2025-09-11,2015,豐興,39367,0,0,TWSE
2025-09-11,2017,官田鋼,83000,0,0,TWSE
2025-09-11,2020,美亞,126000,0,0,TWSE
2025-09-11,2022,聚亨,94000,0,0,TWSE
2025-09-11,2023,燁輝,193000,0,0,TWSE
2025-09-11,2025,千興,28000,0,0,TWSE
2025-09-11,2027,大成鋼,7102678,625000,0,TWSE
2025-09-11,2028,威致,13000,0,0,TWSE
2025-09-11,2029,盛餘,249000,0,0,TWSE
2025-09-11,2030,彰源,128000,0,0,TWSE
2025-09-11,2031,新光鋼,147000,306000,0,TWSE
2025-09-11,2032,新鋼,116000,0,0,TWSE
2025-09-11,2033,佳大,1000,0,0,TWSE
